date, pm25, pm10, o3, no2, so2, co
2020/11/2, 201, 133, 3, 45, 7, 22
2020/11/3, 175, 356, 2, 54, 9, 17
2020/11/4, 357, 248, 2, 47, 8, 15
2020/11/5, 318, 211, 2, 47, 8, 16
2020/11/6, 277, 314, 2, 43, 8, 16
2020/11/7, 344, 277, 2, 52, 9, 18
2020/11/8, 340, 550, 2, 62, 8, 24
2020/11/9, 505, 475, 17, 47, 8, 26
2020/11/10, 240, 146, 10, 36, 8, 21
2020/11/11, 191, 156, 2, 44, 8, 23
2020/11/12, 193, 164, 30, 48, 8, 23
2020/11/13, 208, 297, 40, 41, 8, 23
2020/11/14, 359, 320, 39, 26, 6, 14
2020/11/15, 313, 83, 27, 20, 6, 8
2020/11/16, 163, 90, 29, 25, 5, 9
2020/11/17, 155, 108, 38, 31, 6, 12
2020/11/18, 175, 119, 32, 34, 6, 11
2020/11/19, 185, 154, 34, 34, 5, 10
2020/11/20, 235, 120, 30, 31, 7, 11
2020/11/21, 170, 132, 31, 31, 7, 12
2020/11/22, 193, 158, 26, 46, 7, 19
2020/11/23, 209, 236, 32, 49, 7, 23
2020/11/24, 269, 313, 22, 37, 7, 16
2020/11/25, 320, 111, 27, 22, 7, 7
2020/11/26, 168, 92, 26, 25, 6, 10
2020/11/27, 148, 114, 37, 26, 7, 11
2020/11/28, 178, 119, 47, 32, 7, 12
2020/11/29, 181, 145, 50, 33, 7, 18
2020/11/30, 207, 192, 53, 41, 8, 15
2020/12/1, 262, 177, 52, 36, 7, 15
2020/12/2, 249, 156, 43, 38, 7, 12
2020/12/3, 224, 216, 55, 43, 8, 25
2020/12/4, 264, 248, 45, 31, 6, 14
2020/12/5, 297, 222, 43, 33, 6, 14
2020/12/6, 280, 260, 38, 31, 6, 16
2020/12/7, 309, 187, 42, 36, 10, 17
2020/12/8, 262, 146, 29, 25, 8, 23
2020/12/9, 232, 140, 24, 32, 8, 17
2020/12/10, 189, 166, 13, 35, 8, 14
2020/12/11, 209, 212, 14, 22, 5, 13
2020/12/12, 291, 117, 23, 17, 5, 6
2020/12/13, 185, 92, 26, , 6, 6
2020/12/14, 167, 115, 18, 24, 9, 7
2020/12/15, 185, 117, 21, 20, 4, 7
2020/12/16, 183, 147, 22, 22, 5, 9
2020/12/17, 208, 145, 30, 18, 7, 11
2020/12/18, 198, 159, 35, 15, 8, 11
2020/12/19, 216, 167, 34, 13, 8, 12
2020/12/20, 235, 185, 29, 12, 10, 22
2020/12/21, 238, 326, 32, 17, 10, 20
2020/12/22, 340, 325, 33, 23, 10, 25
2020/12/23, 338, 312, 31, 20, 15, 15
2020/12/24, 337, 190, 33, 18, 8, 15
2020/12/25, 251, 180, 33, 19, 8, 13
2020/12/26, 246, 266, 30, 18, 10, 14
2020/12/27, 316, 140, 25, 16, 10, 5
2020/12/28, 152, 168, 28, 15, 9, 7
2020/12/29, 187, 147, 22, 14, 7, 7
2020/12/30, 213, 183, 23, 16, 8, 9
2020/12/31, 268, 595, 18, 43, 11, 21
2021/1/1, 486, 284, 17, 22, 11, 12
2021/1/2, 337, 121, 9, 14, 10, 6
2021/1/3, 210, 80, 14, 15, 9, 7
2020/7/1, 119, 88, 44, 13, 7, 6
2020/7/2, 140, 88, 48, 11, 7, 5
2020/7/3, 141, 64, 37, 7, 7, 4
2020/7/4, 109, 41, 51, 9, 8, 4
2020/7/5, 77, 58, 22, 10, 7, 4
2020/7/6, 113, 32, 13, 6, 6, 3
2020/7/7, 55, 37, 16, 8, 5, 6
2020/7/8, 73, 49, 39, 11, 4, 6
2020/7/9, 89, 51, 33, 9, 5, 5
2020/7/10, 72, 40, 34, 8, 4, 4
2020/7/11, 61, 38, 34, 7, 5, 4
2020/7/12, 65, 74, 42, 10, 5, 4
2020/7/13, 82, 92, 55, 10, 5, 5
2020/7/14, 101, 69, 38, 7, 5, 5
2020/7/15, 102, 53, 22, 8, 6, 5
2020/7/16, 89, 62, 9, 12, 5, 8
2020/7/17, 121, 58, 19, 9, 5, 5
2020/7/18, 105, 40, 21, 10, 4, 7
2020/7/19, 70, 34, 35, 11, 4, 5
2020/7/20, 64, 31, 25, 7, 4, 4
2020/7/21, 68, 30, 12, 11, 4, 6
2020/7/22, 62, 51, 43, 11, 4, 9
2020/7/23, 95, 57, 26, 10, 4, 5
2020/7/24, 106, 44, 20, 7, 4, 5
2020/7/25, 85, 55, 26, 11, 5, 9
2020/7/26, 103, 55, 23, 9, 4, 8
2020/7/27, 92, 49, 22, 9, 4, 6
2020/7/28, 69, 50, 13, 12, 4, 5
2020/7/29, 75, 36, 21, 11, 4, 6
2020/7/30, 53, 59, 27, 14, 6, 7
2020/7/31, 108, 48, 17, 19, 5, 9
2020/8/1, 94, 42, 24, 12, 4, 5
2020/8/2, 68, 46, 23, 11, 4, 5
2020/8/3, 68, 48, 26, 10, 4, 5
2020/8/4, 69, 61, 12, 18, 6, 7
2020/8/5, 107, 44, 16, 8, 6, 4
2020/8/6, 51, 38, 22, 9, 6, 5
2020/8/7, 72, 61, 47, 15, 6, 7
2020/8/8, 123, 42, 21, 11, 5, 6
2020/8/9, 90, 42, 12, 9, 5, 5
2020/8/10, 85, 56, 25, 11, 5, 7
2020/8/11, 114, 42, 21, 6, 5, 4
2020/8/12, 69, 23, 9, 7, 5, 6
2020/8/13, 53, 36, 12, 6, 6, 5
2020/8/14, 63, 38, 16, 3, 5, 4
2020/8/15, 90, 26, 12, 5, 5, 5
2020/8/16, 52, 45, 36, 6, 5, 8
2020/8/17, 88, 48, 11, 6, 5, 7
2020/8/18, 82, 30, 9, 7, 5, 7
2020/8/19, 63, 26, 47, 6, 6, 7
2020/8/20, 59, 41, 103, 6, 9, 5
2020/8/21, 59, 42, 13, 6, 7, 3
2020/8/22, 54, 31, 14, 3, 6, 2
2020/8/23, 57, 22, 12, 4, 6, 2
2020/8/24, 50, 40, 12, 6, 5, 4
2020/8/25, 61, 28, 20, 5, 5, 3
2020/8/26, 47, 45, 28, 8, 5, 5
2020/8/27, 61, 49, 43, 10, 6, 8
2020/8/28, 88, 56, 35, 7, 7, 6
2020/8/29, 103, 35, 13, 3, 6, 2
2020/8/30, 59, 23, 14, 4, 5, 3
2020/8/31, 37, 32, 20, 5, 4, 3
2020/9/1, 49, 39, 42, 7, 4, 4
2020/9/2, 58, 53, 21, 8, 5, 5
2020/9/3, 91, 58, 8, 11, 6, 6
2020/9/4, 108, 43, 40, 10, 5, 5
2020/9/5, 74, 39, 54, 10, 5, 5
2020/9/6, 81, 60, 23, 13, 6, 7
2020/9/7, 114, 60, 40, 10, 5, 5
2020/9/8, 93, 69, 39, 11, 5, 7
2020/9/9, 130, 70, 39, 11, 5, 7
2020/9/10, 128, 80, 62, 12, 7, 8
2020/9/11, 131, 81, 54, 13, 6, 8
2020/9/12, 138, 86, 47, 12, 6, 7
2020/9/13, 153, 93, 42, 13, 5, 9
2020/9/14, 158, 84, 68, 13, 5, 9
